date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:04:12	136218/136218	---M-Z	200	added ('OK')	text/html	etag:%22566a-5f5bc62fa68b3%22	https://codingallstars.com/	D:/D/My-projects/codingallstars/trialtask/codingallstars.com/index.html	(from )
14:04:14	119/119	---MC-	200	added ('OK')	text/plain	date:Tue,%2028%20Feb%202023%2007:04:11%20GMT	https://codingallstars.com/robots.txt		(from )
14:04:15	6275/6275	---M--	200	added ('OK')	application/x-javascript	etag:%221883-5e2afd966673e%22	https://codingallstars.com/wp-content/plugins/w3-total-cache/pub/js/lazyload.min.js	D:/D/My-projects/codingallstars/trialtask/codingallstars.com/wp-content/plugins/w3-total-cache/pub/js/lazyload.min.js	(from https://codingallstars.com/)
14:04:16	39737/39737	---M--	200	added ('OK')	text/css	etag:%229b39-5df4cfec8b1fb%22	https://codingallstars.com/wp-content/themes/astra/assets/css/minified/main.min.css?ver=3.8.1	D:/D/My-projects/codingallstars/trialtask/codingallstars.com/wp-content/themes/astra/assets/css/minified/main.min7e2e.css	(from https://codingallstars.com/)
14:04:17	2915/2915	---MC-	200	added ('OK')	application/rss+xml	etag:%2272334838fdab6574ba714e9f641407cf%22	https://codingallstars.com/feed/	D:/D/My-projects/codingallstars/trialtask/codingallstars.com/feed/index.html	(from https://codingallstars.com/)
14:04:17	22511/22511	---M--	200	added ('OK')	text/css	etag:%2257ef-5df5e563bf5bd%22	https://codingallstars.com/wp-content/plugins/wpforms-lite/assets/css/wpforms-base.min.css?ver=1.7.4.2	D:/D/My-projects/codingallstars/trialtask/codingallstars.com/wp-content/plugins/wpforms-lite/assets/css/wpforms-base.mine945.css	(from https://codingallstars.com/)
14:04:17	2731/2731	---M--	200	added ('OK')	text/css	etag:%22aab-5e45465d8594a%22	https://codingallstars.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.1	D:/D/My-projects/codingallstars/trialtask/codingallstars.com/wp-content/plugins/contact-form-7/includes/css/stylesd96d.css	(from https://codingallstars.com/)
14:04:18	850/850	---M--	200	added ('OK')	text/css	etag:%22352-5df4cfec89a8b%22	https://codingallstars.com/wp-content/themes/astra/assets/css/minified/compatibility/contact-form-7-main.min.css?ver=3.8.1	D:/D/My-projects/codingallstars/trialtask/codingallstars.com/wp-content/themes/astra/assets/css/minified/compatibility/contact-form-7-main.min7e2e.css	(from https://codingallstars.com/)
14:04:18	19128/19128	---M--	200	added ('OK')	text/css	etag:%224ab8-5df4e33573a14%22	https://codingallstars.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.15.0	D:/D/My-projects/codingallstars/trialtask/codingallstars.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7816.css	(from https://codingallstars.com/)
14:04:18	94889/94889	---M--	200	added ('OK')	text/css	etag:%22172a9-5ed902c2ad84a%22	https://codingallstars.com/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	D:/D/My-projects/codingallstars/trialtask/codingallstars.com/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://codingallstars.com/)
